5128_06_00,06:00:00,06:00:00,5358,0
5128_06_00,06:01:08,06:01:08,1034,1
5128_06_00,06:02:01,06:02:01,742,2
5128_06_00,06:02:48,06:02:48,743,3
5128_06_00,06:04:05,06:04:05,744,4
5128_06_00,06:04:52,06:04:52,745,5
5128_06_00,06:06:06,06:06:06,5359,6
5128_06_00,06:08:18,06:08:18,1677,7
5128_06_00,06:11:43,06:11:43,1678,8
5128_06_00,06:13:10,06:13:10,1679,9
5128_06_00,06:14:41,06:14:41,1114,10
5128_06_00,06:18:17,06:18:17,1115,11
5128_06_00,06:25:06,06:25:06,1296,12
5128_06_00,06:26:49,06:26:49,5188,13
5128_06_00,06:30:27,06:30:27,1118,14
5128_06_00,06:31:23,06:31:23,1119,15
5128_06_00,06:32:55,06:32:55,3964,16
5128_06_00,06:34:52,06:34:52,1121,17
5128_06_00,06:36:26,06:36:26,1122,18
5128_06_00,06:37:52,06:37:52,1124,19
5128_06_00,06:39:33,06:39:33,1125,20
5128_06_00,06:41:11,06:41:11,1126,21
5128_06_00,06:43:40,06:43:40,1127,22
5128_06_00,06:45:11,06:45:11,1128,23
5128_06_00,06:46:32,06:46:32,1129,24
5128_06_00,06:47:29,06:47:29,5360,25
5128_06_00,06:49:04,06:49:04,5361,26
5128_06_00,06:50:39,06:50:39,1840,27
5128_06_00,06:51:31,06:51:31,1841,28
5128_06_00,06:52:20,06:52:20,1842,29
5128_06_00,06:53:21,06:53:21,5362,30
