Ambedkar Nagar Depot,and, 28.5147756299137,77.2284207 
Banda Bahardur Marg Depot,bbm, 28.704478548169,77.21145659 
Dichaon Kalan Depot,dkd, 28.6291327002572,76.99814032 
Dwarka Sector - 2 Depot,dw-sec-2, 28.5987478192797,77.06488407 
Dwarka Sector - 8 Depot,dw-sec-8, 28.575834167870305, 77.07149443977963 
East Vinod Nagar Depot,evnd, 28.62050828429655, 77.30014997824202 
Gazipur Depot,gpd, 28.641370030079827, 77.31571281278815 
GT Karnal Road Depot,gtk, 28.716933609058387, 77.16989008514457 
Hari Nagar Depot - I,hnd-1, 28.62458769943789, 77.1016180380324 
Hari Nagar Depot - II,hnd-2, 28.623280388541364, 77.10203233977231 
Hasanpur Depot,hpd, 28.63506702241246, 77.30676391169686 
IP Depot,ipd, 28.620005059613206, 77.2481827053828 
Kalkaji Depot,kjd, 28.538729801564834, 77.26796897009233 
Kanjhawala Depot,knjd, 28.727523699761544, 77.00552648089888 
Keshopur Depot,kpd, 28.653150173572982, 77.08834716326149 
Mayapuri Depot,mpd, 28.635508493035285, 77.12991324727415 
Naraina Depot,nd, 28.64919626572448, 77.15119298210118 
Nangloi Depot,nld, 28.682012642443766, 77.07790399744553 
Nand Nagri Depot,nnd, 28.69864920013462, 77.30561131093832 
Noida Depot,noida, 28.576604719239068, 77.31503189744308 
Narela Depot,nrld, 28.822068578596376, 77.10222863607473 
Peera Garhi Depot,pgd, 28.67536301169427, 77.09404097825337 
Rajghat 1,rajghat-1, 28.64044046369542, 77.25726213803091 
Rajghat 2,rajghat-2, 28.641619483385576, 77.25367371460472 
Rohini Depot 1,rhd-1, 28.71609623605202, 77.11242847627281 
Rohini Depot 2,rhd-2, 28.730658033074945, 77.12267257548184 
Rohini Depot 3,rhd-3, 28.697025858895017, 77.11112673977408 
Rohini Depot 4,rhd-4, 28.744725147892993, 77.13067950670312 
Subhash Place Depot,sbpl, 28.694793175720676, 77.15678081012007 
Sarojini Nagar Depot,snd, 28.57353547920317, 77.18997852056052 
Sriniwaspuri Depot,snpd, 28.561433195872933, 77.26092002055809 
Shadipur Depot,spd, 28.653626134188784, 77.15541266084217 
Sukhdev Vihar Depot,svd, 28.55479247725963, 77.27173010201166 
Tehkhand Depot,tkd, 28.511059908845276, 77.28126353976965 
Vasant VIhar Depot,vvd, 28.55860079226728, 77.16952661093484 
Wazirpur Depot,wpd, 28.693569709270726, 77.15467795828616 
Kushak Nallah Depot,knd, 28.580266098766742, 77.22515145511488 
Rohini Depot 37,rhd-37, 28.748462082850693, 77.05416317842442 
Mundela Kalan Depot,mkd, 28.60810562767869, 76.89266255168 
